FQDN;IP_PRIV;IP_PUB;BOOT_SIZE;BOOT_IMG;DATA_VLM_SIZE;FLAVOR;SEC_GROUPS;STATE
elasticsearch1.aai.garr.it;192.168.80.4;90.147.166.201;10;Debian-8.8.2;250;idem-elk;default,MGMT-SSH;present
elasticsearch2.aai.garr.it;192.168.80.5;90.147.161.12;10;Debian-8.8.2;250;idem-elk;default,MGMT-SSH;present
kibana.aai.garr.it;192.168.80.6;90.147.167.215;10;Debian-8.8.2;;idem-elk;default,MGMT-SSH,MGMT-WEB;present
checkmk.aai.garr.it;192.168.80.7;90.147.166.123;10;Debian-8.8.2;;m1.medium;default,MGMT-SSH,MGMT-WEB;present
logs.aai.garr.it;192.168.80.8;90.147.167.172;10;Debian-8.8.2;250;idem-idpcloud;default,MGMT-SSH;present
data-backups.aai.garr.it;192.168.80.9;90.147.166.36;10;Debian-8.8.2;500;idem-idpcloud;default,MGMT-SSH;present
garr-idp-prod.irccs.garr.it;192.168.80.10;90.147.166.82;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
garr-idp-test.irccs.garr.it;192.168.80.11;90.147.167.145;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-stellamaris.irccs.garr.it;192.168.80.12;90.147.167.187;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-iov.irccs.garr.it;192.168.80.13;90.147.167.210;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-oasi.irccs.garr.it;192.168.80.14;90.147.167.97;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-css.irccs.garr.it;192.168.80.15;90.147.167.64;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-cro.irccs.garr.it;192.168.80.16;90.147.167.38;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-dgnocchi.irccs.garr.it;192.168.80.17;90.147.167.2;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-emedea.irccs.garr.it;192.168.80.18;90.147.167.89;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-portici.izs.garr.it;192.168.80.19;90.147.166.145;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-sicilia.izs.garr.it;192.168.80.20;90.147.166.106;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-ssbar.beniculturali.garr.it;192.168.80.21;90.147.166.7;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-iccu.beniculturali.garr.it;192.168.80.22;90.147.166.35;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-srpisana.irccs.garr.it;192.168.80.23;90.147.166.195;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-aux.irccs.garr.it;192.168.80.24;90.147.166.143;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-burlog.irccs.garr.it;192.168.80.25;90.147.167.34;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-ccmonz.irccs.garr.it;192.168.80.26;90.147.166.200;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-neurolesi.irccs.garr.it;192.168.80.27;90.147.167.41;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-crob.irccs.garr.it;192.168.80.28;90.147.167.37;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-bietti.irccs.garr.it;192.168.80.29;90.147.166.194;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-intna.irccs.garr.it;192.168.80.30;90.147.167.92;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-hsr.irccs.garr.it;192.168.80.31;90.147.167.85;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-maugeri.irccs.garr.it;192.168.80.32;90.147.166.127;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-galeazzi.irccs.garr.it;192.168.80.33;90.147.166.114;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-gaslini.irccs.garr.it;192.168.80.34;90.147.166.226;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-slucia.irccs.garr.it;192.168.80.35;90.147.167.91;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-humanitas.irccs.garr.it;192.168.80.36;90.147.167.87;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-idi.irccs.garr.it;192.168.80.37;90.147.167.170;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-ieo.irccs.garr.it;192.168.80.38;90.147.167.140;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-ifo.irccs.garr.it;192.168.80.39;90.147.167.202;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-inmi.irccs.garr.it;192.168.80.40;90.147.167.161;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-inrca.irccs.garr.it;192.168.80.41;90.147.166.111;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-iorizz.irccs.garr.it;192.168.80.42;90.147.167.195;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-bellis.irccs.garr.it;192.168.80.43;90.147.167.214;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-fbf.irccs.garr.it;192.168.80.44;90.147.167.96;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-istituto-besta.irccs.garr.it;192.168.80.45;90.147.166.196;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-tumori-mi.irccs.garr.it;192.168.80.46;90.147.167.86;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-mondino.irccs.garr.it;192.168.80.47;90.147.167.167;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-multimedica.irccs.garr.it;192.168.80.48;90.147.167.69;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-neuromed.irccs.garr.it;192.168.80.49;90.147.167.5;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-istba.irccs.garr.it;192.168.80.50;90.147.167.75;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-opbg.irccs.garr.it;192.168.80.51;90.147.167.71;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-scamillo.irccs.garr.it;192.168.80.52;90.147.167.66;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-ospedalesanmartino.irccs.garr.it;192.168.80.53;90.147.166.19;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-ompmre.irccs.garr.it;192.168.80.54;90.147.166.42;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-sdonato.irccs.garr.it;192.168.80.55;90.147.166.31;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-sanmatteo.irccs.garr.it;192.168.80.56;90.147.166.67;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
idp-sdn.irccs.garr.it;192.168.80.57;90.147.166.18;10;Debian-8.8.2;;idem-idpcloud;default,MGMT-SSH,IdP-in-th-Cloud,MGMT-Check_MK;present
